Course,"AE 321"
Lab Section Number,"10"
Test Group,"B"
Type of Test,"Tensile - Round"
Crosshead Rate,4.00,mm/min
Start Date,10/8/2015 10:54 AM
End Date,10/8/2015 10:56 AM
Material,"7075 Aluminum"
Heat treatment,""
Other information,""
Geometry,Circular
Diameter,6.97,mm
Area,38.1553,mm^2
Hardness,0.0
Rockwell Scale,HRB
Grip Diameter (Hardness correction),12.50,mm
Gage Length (Extensometer),25.40,mm
Maximum Load,22840,N
Tensile strain at Maximum Load,0.07789,mm/mm
Tensile strain at Maximum Strain 1,0.09501,mm/mm
Load at Maximum Strain 1,22370,N
Fracture Type and Location,""
Final Diameter,6.20,mm
Notes During Test,""

Time,Extension,Load,Strain 1
(sec),(mm),(N),(mm/mm)
87.00,5.80,22830,0.07715
87.50,5.83,22840,0.07789
88.00,5.87,22840,0.07865
88.50,5.90,22830,0.07941
89.00,5.93,22830,0.08012
89.50,5.97,22830,0.08083
90.00,6.00,22830,0.08156
90.50,6.03,22820,0.08228
91.00,6.07,22820,0.08298
91.50,6.10,22820,0.08370
92.00,6.13,22810,0.08437
92.50,6.17,22800,0.08508
93.00,6.20,22790,0.08580
93.50,6.23,22780,0.08648
94.00,6.27,22760,0.08718
94.50,6.30,22740,0.08782
95.00,6.33,22730,0.08852
95.50,6.37,22710,0.08919
96.00,6.40,22690,0.08985
96.50,6.43,22670,0.09049
97.00,6.47,22640,0.09116
97.50,6.50,22610,0.09178
98.00,6.53,22580,0.09243
98.50,6.57,22540,0.09310
99.00,6.60,22490,0.09372
99.50,6.63,22440,0.09437
100.00,6.67,22370,0.09501
